issue_number,issue_id,title,body_excerpt,html_url,state,created_at,closed_at,maintainer_labels,ground_truth,confidence,label_source,source_signals,rationale
710,532945353,Is there a way to get the doctl-equivalent of a droplet creation from the web UI ?,I'd like to know if there's a way to know the doctl command equivalent to a digital ocean resource I've created (let's say a droplet) from the web UI ? Does my request make any sense ?,https://github.com/digitalocean/doctl/issues/710,closed,2019-12-04T21:29:46Z,2019-12-05T01:53:47Z,question,question,1.000,maintainer_label+keyword,"[""primary_maintainer_label:question"", ""text_signal:question:is there a way"", ""title_signal:question:is there a way"", ""high_specific_text:question"", ""clean_single_primary_label""]",Assigned question from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:question; text_signal:question:is there a way; title_signal:question:is there a way; high_specific_text:question.
716,536310769,Complete Uninstall,The docs seem to be missing a guide to completely uninstall on various environments. I am looking for a complete uninstall on macOS with homebrew.,https://github.com/digitalocean/doctl/issues/716,closed,2019-12-11T11:29:39Z,2019-12-11T15:48:21Z,,documentation,1.000,manual_override,"[""manual_override""]",Primary ask is for missing uninstall documentation.
719,539057961,context switching in Readme tripped me up,"Might want to make the command more explicit. Currently says: To use a non-default context, pass the context name as described above to any doctl command. To set a new default context, run doctl auth switch. This command will save the cu...",https://github.com/digitalocean/doctl/issues/719,closed,2019-12-17T13:13:07Z,2019-12-17T18:17:33Z,,documentation,1.000,manual_override,"[""manual_override""]",Primary ask is to clarify README context-switching instructions.
729,550431902,CVE-2019-11250 (Medium) detected in k8s.io/client-go/transport-v12.0.0,## CVE-2019-11250 - Medium Severity Vulnerability <details><summary><img src='https://whitesource-resources.whitesourcesoftware.com/vulnerability_details.png' width=19 height=20> Vulnerable Library - <b>k8s.io/client-go/transport-v12.0.0...,https://github.com/digitalocean/doctl/issues/729,closed,2020-01-15T21:12:21Z,2020-02-18T18:34:31Z,security vulnerability,security,1.000,maintainer_label+keyword,"[""primary_maintainer_label:security vulnerability"", ""text_signal:security:\\bcredentials\\b,\\bcvss\\b,cve-,vulnerability,vulnerable library"", ""title_signal:security:cve-"", ""high_specific_text:security"", ""clean_single_primary_label""]","Assigned security from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:security vulnerability; text_signal:security:\bcredentials\b,\bcvss\b,cve-,vulnerability,vulnerable library; title_signal:security:cve-; high_specific_text:security."
733,557826872,Errors when using Git for Windows,"**Doctl says unknown terminal, when trying `doctl auth init`:** So, I have been using doctl on Windows via the [Git Bash](https://git-scm.com/) utility, powershell isn't my thing. I download the doctl.exe to bin directory in my home fold...",https://github.com/digitalocean/doctl/issues/733,open,2020-01-30T23:51:57Z,,bug;Needs Investigation,bug,1.000,maintainer_label+keyword,"[""primary_maintainer_label:bug"", ""text_signal:bug:error:"", ""clean_single_primary_label""]",Assigned bug from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:bug; text_signal:bug:error:; clean_single_primary_label.
735,559863376,CVE-2020-7219 (Medium) detected in github.com/stretchr/objx-v0.1.1,## CVE-2020-7219 - Medium Severity Vulnerability <details><summary><img src='https://whitesource-resources.whitesourcesoftware.com/vulnerability_details.png' width=19 height=20> Vulnerable Library - <b>github.com/stretchr/objx-v0.1.1</b>...,https://github.com/digitalocean/doctl/issues/735,closed,2020-02-04T17:17:13Z,2020-02-10T23:45:39Z,security vulnerability,security,1.000,maintainer_label+keyword,"[""primary_maintainer_label:security vulnerability"", ""text_signal:security:\\bcvss\\b,cve-,vulnerability,vulnerable library,whitesource"", ""title_signal:security:cve-"", ""high_specific_text:security"", ""clean_single_primary_label""]","Assigned security from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:security vulnerability; text_signal:security:\bcvss\b,cve-,vulnerability,vulnerable library,whitesource; title_signal:security:cve-; high_specific_text:security."
784,600180764,[Fix] Unable to find droplet image identifier,"**Describe the Issue:** While creating a droplet, I was looking for Ubuntu 18.04.3 (LTS) x64 image identifier using ```doctl compute image list``` command but the output string displays nothing. I had to search in some existing comments ...",https://github.com/digitalocean/doctl/issues/784,closed,2020-04-15T10:09:27Z,2020-04-17T17:06:30Z,bug,bug,1.000,maintainer_label+keyword,"[""primary_maintainer_label:bug"", ""text_signal:bug:\\bwrong\\b"", ""clean_single_primary_label""]",Assigned bug from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:bug; text_signal:bug:\bwrong\b; clean_single_primary_label.
811,625909897,"CVE-2019-11254 (Medium) detected in github.com/digitalocean/doctl/do/mocks-1b6d0b826a3d5af724a200f510be82d1ee01e2d0, github.com/digitalocean/doctl-1b6d0b826a3d5af724a200f510be82d1ee01e2d0",## CVE-2019-11254 - Medium Severity Vulnerability <details><summary><img src='https://whitesource-resources.whitesourcesoftware.com/vulnerability_details.png' width=19 height=20> Vulnerable Libraries - <b>github.com/digitalocean/doctl/do...,https://github.com/digitalocean/doctl/issues/811,closed,2020-05-27T17:58:58Z,2020-05-28T16:28:02Z,security vulnerability,security,1.000,maintainer_label+keyword,"[""primary_maintainer_label:security vulnerability"", ""text_signal:security:\\bcvss\\b,cve-,vulnerability,vulnerable library,whitesource"", ""title_signal:security:cve-"", ""high_specific_text:security"", ""clean_single_primary_label""]","Assigned security from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:security vulnerability; text_signal:security:\bcvss\b,cve-,vulnerability,vulnerable library,whitesource; title_signal:security:cve-; high_specific_text:security."
812,625909919,CVE-2019-11244 (Medium) detected in k8s.io/client-go/util/keyutil-78d2af792babf2dd937ba2e2a8d99c753a5eda89,## CVE-2019-11244 - Medium Severity Vulnerability <details><summary><img src='https://whitesource-resources.whitesourcesoftware.com/vulnerability_details.png' width=19 height=20> Vulnerable Library - <b>k8s.io/client-go/util/keyutil-78d2...,https://github.com/digitalocean/doctl/issues/812,closed,2020-05-27T17:59:00Z,2020-05-28T16:08:15Z,security vulnerability,security,1.000,maintainer_label+keyword,"[""primary_maintainer_label:security vulnerability"", ""text_signal:security:\\bcvss\\b,cve-,vulnerability,vulnerable library,whitesource"", ""title_signal:security:cve-"", ""high_specific_text:security"", ""clean_single_primary_label""]","Assigned security from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:security vulnerability; text_signal:security:\bcvss\b,cve-,vulnerability,vulnerable library,whitesource; title_signal:security:cve-; high_specific_text:security."
830,644899005,CVE-2020-14040 (Medium) detected in github.com/microsoft/hcsshim/osversion-v0.8.7,## CVE-2020-14040 - Medium Severity Vulnerability <details><summary><img src='https://whitesource-resources.whitesourcesoftware.com/vulnerability_details.png' width=19 height=20> Vulnerable Library - <b>github.com/microsoft/hcsshim/osver...,https://github.com/digitalocean/doctl/issues/830,closed,2020-06-24T19:57:40Z,2020-06-25T14:00:38Z,security vulnerability,security,1.000,maintainer_label+keyword,"[""primary_maintainer_label:security vulnerability"", ""text_signal:security:\\bcvss\\b,cve-,vulnerability,vulnerable library,whitesource"", ""title_signal:security:cve-"", ""high_specific_text:security"", ""clean_single_primary_label""]","Assigned security from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:security vulnerability; text_signal:security:\bcvss\b,cve-,vulnerability,vulnerable library,whitesource; title_signal:security:cve-; high_specific_text:security."
843,663899874,CVE-2019-11253 (High) detected in multiple libraries,## CVE-2019-11253 - High Severity Vulnerability <details><summary><img src='https://whitesource-resources.whitesourcesoftware.com/vulnerability_details.png' width=19 height=20> Vulnerable Libraries - <b>k8s.io/apimachinery/pkg/runtime-ku...,https://github.com/digitalocean/doctl/issues/843,closed,2020-07-22T16:39:48Z,2020-07-22T16:47:39Z,security vulnerability,security,1.000,maintainer_label+keyword,"[""primary_maintainer_label:security vulnerability"", ""text_signal:security:\\bcvss\\b,cve-,vulnerability,vulnerable library,whitesource"", ""title_signal:security:cve-"", ""high_specific_text:security"", ""clean_single_primary_label""]","Assigned security from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:security vulnerability; text_signal:security:\bcvss\b,cve-,vulnerability,vulnerable library,whitesource; title_signal:security:cve-; high_specific_text:security."
849,692330875,CVE-2020-8559 (Medium) detected in k8s.io/apimachinery/pkg/util/net-v0.17.11,## CVE-2020-8559 - Medium Severity Vulnerability <details><summary><img src='https://whitesource-resources.whitesourcesoftware.com/vulnerability_details.png' width=19 height=20> Vulnerable Library - <b>k8s.io/apimachinery/pkg/util/net-v0...,https://github.com/digitalocean/doctl/issues/849,closed,2020-09-03T20:41:10Z,2020-09-25T14:41:08Z,security vulnerability,security,1.000,maintainer_label+keyword,"[""primary_maintainer_label:security vulnerability"", ""text_signal:security:\\bcvss\\b,cve-,vulnerability,vulnerable library,whitesource"", ""title_signal:security:cve-"", ""high_specific_text:security"", ""clean_single_primary_label""]","Assigned security from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:security vulnerability; text_signal:security:\bcvss\b,cve-,vulnerability,vulnerable library,whitesource; title_signal:security:cve-; high_specific_text:security."
853,705610929,--auto-upgrade flag requires '=' and documentation doesn't describe usage well,"**Describe the Issue:** the autoupgrade flag should be used like `--auto-upgrade=false`and not `--auto-upgrade false`. Having a space, instead of '=' appears to accept the input but does not actually afftect the setting. I have provided ...",https://github.com/digitalocean/doctl/issues/853,closed,2020-09-21T13:42:37Z,2020-10-29T14:46:10Z,bug;docs,bug,1.000,manual_override,"[""manual_override""]","Flag accepts misleading syntax and silently does not apply the setting; docs are also unclear, but primary issue is behavior."
856,707403113,Allow picking the context’s name in `doctl kubernetes cluster kubeconfig save`,"**What is the problem this feature would solve? Please describe.** Currently, `doctl kubernetes cluster kubeconfig save <NAME>` saves a `kubectl` context named `do-<REGION>-<NAME>`. This makes it difficult to use `doctl` in continuous in...",https://github.com/digitalocean/doctl/issues/856,closed,2020-09-23T14:12:08Z,2022-01-14T22:16:00Z,suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:\\ballow\\b"", ""title_signal:enhancement:\\ballow\\b"", ""clean_single_primary_label""]",Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:\ballow\b; title_signal:enhancement:\ballow\b; clean_single_primary_label.
859,707533744,CVE-2020-9283 (High) detected in golang.org/x/crypto/ssh-bfa7d42eb568d3c454e1853744768cc80718040d,## CVE-2020-9283 - High Severity Vulnerability <details><summary><img src='https://whitesource-resources.whitesourcesoftware.com/vulnerability_details.png' width=19 height=20> Vulnerable Library - <b>golang.org/x/crypto/ssh-bfa7d42eb568d...,https://github.com/digitalocean/doctl/issues/859,closed,2020-09-23T17:03:27Z,2020-11-05T18:02:27Z,security vulnerability,security,1.000,maintainer_label+keyword,"[""primary_maintainer_label:security vulnerability"", ""text_signal:security:\\bcvss\\b,cve-,vulnerability,vulnerable library,whitesource"", ""title_signal:security:cve-"", ""high_specific_text:security"", ""clean_single_primary_label""]","Assigned security from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:security vulnerability; text_signal:security:\bcvss\b,cve-,vulnerability,vulnerable library,whitesource; title_signal:security:cve-; high_specific_text:security."
876,715314825,doctl registry login error: docker-credential-secretservice: executable file not found in $PATH,"**Describe the Issue:** `doctl registry login` generates an error: ``` Error: error storing credentials - err: exec: ""docker-credential-secretservice"": executable file not found in $PATH, out: `` ``` I'm following steps as described [her...",https://github.com/digitalocean/doctl/issues/876,open,2020-10-06T03:46:53Z,,bug;snap;suggestion,bug,1.000,manual_override,"[""manual_override""]",registry login fails with docker credential helper error despite documented flow.
877,716958521,Error: neither $XDG_CONFIG_HOME nor $HOME are defined,**Describe the Issue:** Attempt to run doctl and all it will do is return: `Error: neither $XDG_CONFIG_HOME nor $HOME are defined` **Environment:** doctl version Error: neither $XDG_CONFIG_HOME nor $HOME are defined (v1.48.0 installed as...,https://github.com/digitalocean/doctl/issues/877,open,2020-10-08T01:46:20Z,,bug;Needs Investigation;snap,bug,1.000,maintainer_label+keyword,"[""primary_maintainer_label:bug"", ""text_signal:bug:error:"", ""title_signal:bug:error:"", ""clean_single_primary_label""]",Assigned bug from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:bug; text_signal:bug:error:; title_signal:bug:error:; clean_single_primary_label.
883,722524534,Doctl Returns 500 Error When deploying app.yaml to DO App Platform,**Describe the Issue:** I've created a YAML spec for my DO App Platform based on the sample on this repository. Which looks like this: ``` name: unique-expressions services: - name: api environment_slug: node-js github: repo: Valencian-D...,https://github.com/digitalocean/doctl/issues/883,closed,2020-10-15T17:22:15Z,2020-11-05T17:45:56Z,bug,bug,1.000,maintainer_label+keyword,"[""primary_maintainer_label:bug"", ""text_signal:bug:\\bwrong\\b,error:,returns 500"", ""title_signal:bug:returns 500"", ""clean_single_primary_label""]","Assigned bug from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:bug; text_signal:bug:\bwrong\b,error:,returns 500; title_signal:bug:returns 500; clean_single_primary_label."
891,725624238,auth init is freezing after OK,"Hello, I installed doctl 1.48.1 on Windows 10Pro v1909, by downloading the executable from the relases page. I created an API token and I am trying to initialize. The command doctl auth init accepts the token, but after writing OK it fre...",https://github.com/digitalocean/doctl/issues/891,closed,2020-10-20T14:01:46Z,2020-10-22T15:24:44Z,bug;windows,bug,1.000,maintainer_label+keyword,"[""primary_maintainer_label:bug"", ""text_signal:bug:\\bfreezes\\b"", ""clean_single_primary_label""]",Assigned bug from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:bug; text_signal:bug:\bfreezes\b; clean_single_primary_label.
894,727441450,SSH key public_key not accessible via doctl,"**What is the problem this feature would solve? Please describe.** When `list`ing or `get`ting a ssh-key, with the `doctl compute ssh-key` subcommand, it's possible to see the fingerprint of the key, but not possible to see the actual pu...",https://github.com/digitalocean/doctl/issues/894,closed,2020-10-22T14:27:27Z,2020-10-26T18:20:32Z,good first issue;hacktoberfest;help wanted;suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:would be useful"", ""clean_single_primary_label""]",Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:would be useful; clean_single_primary_label.
916,743097865,zsh autocompletion uses non portable sed extensions,**Describe the Issue:** <!-- Please provide a clear and concise description of the problem you are facing including the steps to reproduce the issue. --> We trying to use the zsh completion generated by doctl with a sed version not suppo...,https://github.com/digitalocean/doctl/issues/916,closed,2020-11-14T22:45:48Z,2020-11-16T21:32:00Z,bug,bug,1.000,manual_override,"[""manual_override""]",zsh autocompletion fails due to non-portable sed usage.
923,754297982,Doctl Returns 500 Error When deploying app.yaml to DO App Platform (image source),**Describe the Issue:** I've created a YAML spec for my DO App Platform. Which looks like this: ```yaml name: redmine-do region: fra services: - name: redmine-dockerfile image: registry: index.docker.io/v1 repository: redmine tag: 4.1.1 ...,https://github.com/digitalocean/doctl/issues/923,closed,2020-12-01T11:06:37Z,2020-12-03T12:24:33Z,bug,bug,1.000,maintainer_label+keyword,"[""primary_maintainer_label:bug"", ""text_signal:bug:\\bwrong\\b,error:,returns 500"", ""title_signal:bug:returns 500"", ""clean_single_primary_label""]","Assigned bug from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:bug; text_signal:bug:\bwrong\b,error:,returns 500; title_signal:bug:returns 500; clean_single_primary_label."
927,759881531,CVE-2020-8565 (Medium) detected in github.com/digitalocean/doctl-v1.54.0,## CVE-2020-8565 - Medium Severity Vulnerability <details><summary><img src='https://whitesource-resources.whitesourcesoftware.com/vulnerability_details.png' width=19 height=20> Vulnerable Library - <b>github.com/digitalocean/doctl-v1.54...,https://github.com/digitalocean/doctl/issues/927,closed,2020-12-09T00:10:54Z,2020-12-18T18:23:44Z,security vulnerability,security,1.000,maintainer_label+keyword,"[""primary_maintainer_label:security vulnerability"", ""text_signal:security:\\bcvss\\b,cve-,vulnerability,vulnerable library,whitesource"", ""title_signal:security:cve-"", ""high_specific_text:security"", ""clean_single_primary_label""]","Assigned security from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:security vulnerability; text_signal:security:\bcvss\b,cve-,vulnerability,vulnerable library,whitesource; title_signal:security:cve-; high_specific_text:security."
930,770382416,Unable to Remove (default?) VPCS,_Issue_ Unable to remove seemingly existing VPCS I am signed into account ```sh Email Droplet Limit Email Verified UUID Status <email> 25 true <uuid> active ``` The VPS shows up in the list ```sh ID URN Name Description IP Range Region C...,https://github.com/digitalocean/doctl/issues/930,closed,2020-12-17T21:30:36Z,2020-12-18T07:15:16Z,bug,bug,1.000,maintainer_label+keyword,"[""primary_maintainer_label:bug"", ""text_signal:bug:error:"", ""clean_single_primary_label""]",Assigned bug from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:bug; text_signal:bug:error:; clean_single_primary_label.
932,771117864,CVE-2020-29652 (High) detected in github.com/digitalocean/doctl-v1.54.0,## CVE-2020-29652 - High Severity Vulnerability <details><summary><img src='https://whitesource-resources.whitesourcesoftware.com/vulnerability_details.png' width=19 height=20> Vulnerable Library - <b>github.com/digitalocean/doctl-v1.54....,https://github.com/digitalocean/doctl/issues/932,closed,2020-12-18T19:23:26Z,2021-01-08T19:43:07Z,security vulnerability,security,1.000,maintainer_label+keyword,"[""primary_maintainer_label:security vulnerability"", ""text_signal:security:\\bcvss\\b,cve-,vulnerability,vulnerable library,whitesource"", ""title_signal:security:cve-"", ""high_specific_text:security"", ""clean_single_primary_label""]","Assigned security from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:security vulnerability; text_signal:security:\bcvss\b,cve-,vulnerability,vulnerable library,whitesource; title_signal:security:cve-; high_specific_text:security."
933,775474502,Support for getting do_token from Vault,"**What is the problem this feature would solve? Please describe.** Now, `doctl` after auth init action, saves long-lived token for DO resources in a file system (config file). **Describe the solution you'd like** `doctl auth` should allo...",https://github.com/digitalocean/doctl/issues/933,open,2020-12-28T16:12:32Z,,suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:\\ballow\\b,support for"", ""title_signal:enhancement:support for"", ""clean_single_primary_label""]","Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:\ballow\b,support for; title_signal:enhancement:support for; clean_single_primary_label."
953,807112679,Ability to define a tag name when deploying a prebuilt image from the Container Registry to Apps Platform,**What is the problem this feature would solve? Please describe.** <!-- A clear and concise description of what the problem is. Ex. I'm always frustrated when [...] --> Deployments from DO Container Registry to Apps platform are limited ...,https://github.com/digitalocean/doctl/issues/953,open,2021-02-12T10:17:38Z,,suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:ability to"", ""title_signal:enhancement:ability to"", ""clean_single_primary_label""]",Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:ability to; title_signal:enhancement:ability to; clean_single_primary_label.
958,812658011,CVE-2020-27813 (High) detected in github.com/gorilla/websocket-v1.4.0,## CVE-2020-27813 - High Severity Vulnerability <details><summary><img src='https://whitesource-resources.whitesourcesoftware.com/vulnerability_details.png' width=19 height=20> Vulnerable Library - <b>github.com/gorilla/websocket-v1.4.0<...,https://github.com/digitalocean/doctl/issues/958,closed,2021-02-20T16:40:30Z,2021-02-20T16:56:37Z,security vulnerability,security,1.000,maintainer_label+keyword,"[""primary_maintainer_label:security vulnerability"", ""text_signal:security:\\bcvss\\b,cve-,vulnerability,vulnerable library,whitesource"", ""title_signal:security:cve-"", ""high_specific_text:security"", ""clean_single_primary_label""]","Assigned security from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:security vulnerability; text_signal:security:\bcvss\b,cve-,vulnerability,vulnerable library,whitesource; title_signal:security:cve-; high_specific_text:security."
978,860717108,apps spec validate doen't give meaningful information,```doctl apps spec validate .do/appspec.yml Error: parsing app spec: json: cannot unmarshal number into Go struct field AppVariableDefinition.envs.value of type string ``` The app spec validation mechanism does not point to the particula...,https://github.com/digitalocean/doctl/issues/978,closed,2021-04-18T17:25:58Z,2021-05-28T04:43:56Z,suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:would be nice"", ""clean_single_primary_label""]",Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:would be nice; clean_single_primary_label.
985,875539700,Add ability to switch context using environment variable,**What is the problem this feature would solve? Please describe.** <!-- A clear and concise description of what the problem is. Ex. I'm always frustrated when [...] --> It would be really nice to have an ability to change `doctl` configu...,https://github.com/digitalocean/doctl/issues/985,closed,2021-05-04T14:47:23Z,2021-05-05T13:58:22Z,suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:ability to,add ability,feature request"", ""title_signal:enhancement:ability to,add ability"", ""clean_single_primary_label""]","Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:ability to,add ability,feature request; title_signal:enhancement:ability to,add ability; clean_single_primary_label."
989,910821537,doctl apps create support for update existing apps,**What is the problem this feature would solve? Please describe.** <!-- A clear and concise description of what the problem is. Ex. I'm always frustrated when [...] --> I have a few CI/CD pipelines to deploy different applications using ...,https://github.com/digitalocean/doctl/issues/989,closed,2021-06-03T20:15:44Z,2021-10-20T14:36:26Z,suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:\\ballow\\b,support for"", ""title_signal:enhancement:support for"", ""clean_single_primary_label""]","Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:\ballow\b,support for; title_signal:enhancement:support for; clean_single_primary_label."
993,921434566,CVE-2021-31525 (Medium) detected in golang.org/x/net/http/httpguts-69a78807bb2bb6d1599c68698c6b009505012083,## CVE-2021-31525 - Medium Severity Vulnerability <details><summary><img src='https://whitesource-resources.whitesourcesoftware.com/vulnerability_details.png' width=19 height=20> Vulnerable Library - <b>golang.org/x/net/http/httpguts-69a...,https://github.com/digitalocean/doctl/issues/993,closed,2021-06-15T14:02:55Z,2021-12-07T19:56:33Z,security vulnerability,security,1.000,maintainer_label+keyword,"[""primary_maintainer_label:security vulnerability"", ""text_signal:security:\\bcvss\\b,cve-,vulnerability,vulnerable library,whitesource"", ""title_signal:security:cve-"", ""high_specific_text:security"", ""clean_single_primary_label""]","Assigned security from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:security vulnerability; text_signal:security:\bcvss\b,cve-,vulnerability,vulnerable library,whitesource; title_signal:security:cve-; high_specific_text:security."
995,926571349,installation issues on macos ,**Describe the Issue:** Installation issues on Mac OS Catalina 1) using Brew Downloading https://ghcr.io/v2/homebrew/core/doctl/manifests/1.56.0 ##O#- # curl: (22) The requested URL returned error: 404 Error: Failed to download resource ...,https://github.com/digitalocean/doctl/issues/995,closed,2021-06-21T20:29:37Z,2021-11-12T17:19:36Z,bug,bug,1.000,maintainer_label+keyword,"[""primary_maintainer_label:bug"", ""text_signal:bug:\\bfailed\\b,cannot execute,error:"", ""clean_single_primary_label""]","Assigned bug from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:bug; text_signal:bug:\bfailed\b,cannot execute,error:; clean_single_primary_label."
997,930384737,Upload image from local fileystem,**What is the problem this feature would solve? Please describe.** Currently the `doctl compute image create` command just allows to create an image based on a URL. What if I build an image locally or on another droplet. How can I add it...,https://github.com/digitalocean/doctl/issues/997,open,2021-06-25T17:53:11Z,,do-api;suggestion,enhancement,1.000,manual_override,"[""manual_override""]",Requests new local image upload capability.
1017,972214229,Requesting a `databases firewalls remove --rule` flag,**What is the problem this feature would solve? Please describe.** For an application I'm building I would like to have a GitHub action temporarily connect to a database to perform some migrations. The machine that the action runs on is ...,https://github.com/digitalocean/doctl/issues/1017,closed,2021-08-17T01:15:29Z,2021-08-23T14:47:13Z,suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:\\ballow\\b,\\bimplement\\b"", ""clean_single_primary_label""]","Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:\ballow\b,\bimplement\b; clean_single_primary_label."
1032,1004821565,connection refused from doctl,"**Describe the Issue:** ``` root@master:/home/ubuntu/tm_scrape_wipo# doctl compute droplet list Error: Get ""https://api.digitalocean.com/v2/droplets?page=1&per_page=200"": dial tcp: lookup api.digitalocean.com on [::1]:53: read udp [::1]:...",https://github.com/digitalocean/doctl/issues/1032,closed,2021-09-22T22:14:26Z,2021-10-18T14:45:32Z,bug,bug,1.000,maintainer_label+keyword,"[""primary_maintainer_label:bug"", ""text_signal:bug:error:"", ""clean_single_primary_label""]",Assigned bug from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:bug; text_signal:bug:error:; clean_single_primary_label.
1042,1022044646,doctl uses the wrong executable name in kubeconfig,"**Describe the Issue:** I ran the `kubeconfig` save command within the terminal in my Goland IDE: ``` doctl kubernetes cluster kubeconfig save <id> ``` When my kubeconfig was modified, it used `goland` as the executable instead of `doctl...",https://github.com/digitalocean/doctl/issues/1042,closed,2021-10-10T17:33:14Z,2021-10-14T18:31:13Z,bug,bug,1.000,maintainer_label+keyword,"[""primary_maintainer_label:bug"", ""text_signal:bug:\\bwrong\\b"", ""title_signal:bug:\\bwrong\\b"", ""clean_single_primary_label""]",Assigned bug from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:bug; text_signal:bug:\bwrong\b; title_signal:bug:\bwrong\b; clean_single_primary_label.
1059,1048074562,"Unknown field ""log_destinations"" when updating spec","``` Error: Command failed: doctl apps update <APP_ID> --spec ./1636419271119.spec.json Error: parsing app spec: json: unknown field ""log_destinations"" ``` Doesn't digital ocean accept log_destinations when updating a spec? `doctl@1.66.0`...",https://github.com/digitalocean/doctl/issues/1059,closed,2021-11-09T01:00:36Z,2021-11-10T15:40:34Z,bug,bug,1.000,maintainer_label+keyword,"[""primary_maintainer_label:bug"", ""text_signal:bug:\\bfailed\\b,error:"", ""clean_single_primary_label""]","Assigned bug from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:bug; text_signal:bug:\bfailed\b,error:; clean_single_primary_label."
1061,1049986586,CVE-2021-25741 (High) detected in github.com/kubernetes/utils-67b214c5f920060488eda08cd2b5c30597f2f1d7,## CVE-2021-25741 - High Severity Vulnerability <details><summary><img src='https://whitesource-resources.whitesourcesoftware.com/vulnerability_details.png' width=19 height=20> Vulnerable Library - <b>github.com/kubernetes/utils-67b214c5...,https://github.com/digitalocean/doctl/issues/1061,closed,2021-11-10T15:35:39Z,2021-11-10T17:41:53Z,security vulnerability,security,1.000,maintainer_label+keyword,"[""primary_maintainer_label:security vulnerability"", ""text_signal:security:\\bcvss\\b,cve-,vulnerability,vulnerable library,whitesource"", ""title_signal:security:cve-"", ""high_specific_text:security"", ""clean_single_primary_label""]","Assigned security from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:security vulnerability; text_signal:security:\bcvss\b,cve-,vulnerability,vulnerable library,whitesource; title_signal:security:cve-; high_specific_text:security."
